domain,status
a.hk,REGISTERED (resolves)
b.hk,NO RESPONSE
c.hk,REGISTERED (resolves)
d.hk,NO RESPONSE
e.hk,REGISTERED (resolves)
f.hk,REGISTERED (resolves)
g.hk,NO RESPONSE
h.hk,REGISTERED (resolves)
i.hk,REGISTERED (resolves)
j.hk,REGISTERED (resolves)
k.hk,REGISTERED (resolves)
l.hk,REGISTERED (resolves)
m.hk,NO RESPONSE
n.hk,NO RESPONSE
o.hk,REGISTERED (resolves)
p.hk,REGISTERED (resolves)
q.hk,REGISTERED (resolves)
r.hk,NO RESPONSE
s.hk,REGISTERED (resolves)
t.hk,NO RESPONSE
u.hk,NO RESPONSE
v.hk,NO RESPONSE
w.hk,REGISTERED (resolves)
x.hk,REGISTERED (resolves)
y.hk,REGISTERED (resolves)
z.hk,REGISTERED (resolves)
0.hk,REGISTERED (resolves)
1.hk,NO RESPONSE
2.hk,REGISTERED (resolves)
3.hk,NO RESPONSE
4.hk,REGISTERED (resolves)
5.hk,NO RESPONSE
6.hk,REGISTERED (resolves)
7.hk,REGISTERED (resolves)
8.hk,REGISTERED (resolves)
9.hk,REGISTERED (resolves)
aa.hk,REGISTERED (resolves)
ab.hk,REGISTERED (resolves)
ac.hk,REGISTERED (resolves)
ad.hk,REGISTERED (resolves)
ae.hk,NO RESPONSE
af.hk,NO RESPONSE
ag.hk,REGISTERED (resolves)
ah.hk,REGISTERED (resolves)
ai.hk,NO RESPONSE
aj.hk,REGISTERED (resolves)
ak.hk,NO RESPONSE
al.hk,REGISTERED (resolves)
am.hk,REGISTERED (resolves)
an.hk,REGISTERED (resolves)
ao.hk,REGISTERED (resolves)
ap.hk,REGISTERED (resolves)
aq.hk,REGISTERED (resolves)
ar.hk,REGISTERED (resolves)
as.hk,REGISTERED (resolves)
at.hk,REGISTERED (resolves)
au.hk,REGISTERED (resolves)
av.hk,NO RESPONSE
aw.hk,REGISTERED (resolves)
ax.hk,REGISTERED (resolves)
ay.hk,REGISTERED (resolves)
az.hk,REGISTERED (resolves)
a0.hk,NO RESPONSE
a1.hk,REGISTERED (resolves)
a2.hk,NO RESPONSE
a3.hk,REGISTERED (resolves)
a4.hk,REGISTERED (resolves)
a5.hk,NO RESPONSE
a6.hk,NO RESPONSE
a7.hk,REGISTERED (resolves)
a8.hk,REGISTERED (resolves)
a9.hk,REGISTERED (resolves)
ba.hk,REGISTERED (resolves)
bb.hk,REGISTERED (resolves)
bc.hk,REGISTERED (resolves)
bd.hk,REGISTERED (resolves)
be.hk,REGISTERED (resolves)
bf.hk,REGISTERED (resolves)
bg.hk,REGISTERED (resolves)
bh.hk,REGISTERED (resolves)
